Frame Number,RMS Power (dBm),X-coordinate,Y-coordinate
1,-15.460756680262833,118.5,192.5
2,-12.613501476473703,119.0,193.5
3,-12.239307508758497,118.5,192.5
4,-12.291216089441928,120.0,193.5
5,-12.011676758833703,120.5,193.5
6,-11.963739244642381,120.5,193.5
7,-12.157422245301891,121.5,192.5
8,-12.26545458058521,120.5,192.5
9,-11.725053080258112,121.0,193.5
10,-10.692069302235925,121.0,192.5
11,-11.412948042675374,121.0,192.5
12,-11.122568366173455,122.0,191.5
13,-12.207464561476938,123.0,192.5
14,-12.47544527983247,124.5,190.5
15,-11.782380048140224,125.5,188.5
16,-10.300647682325067,120.0,190.0
17,-11.573497390417355,138.0,179.0
18,-11.524573880123459,138.0,179.0
19,-10.849897995811792,141.5,173.0
20,-10.995133360313865,143.0,173.0
21,-10.679186667705505,141.0,170.0
22,-11.540100128136974,145.5,163.0
23,-11.130955687285084,147.5,162.0
24,-10.226933092085568,149.0,159.0
25,-11.104111571663802,148.5,157.5
26,-11.584654847690608,149.5,157.5
27,-11.007042168856614,150.0,156.5
28,-11.123929310353004,149.5,154.5
29,-11.102165691741583,156.5,148.5
30,-11.091379935915334,158.0,148.5
31,-9.756247811098833,159.5,149.5
32,-11.010657408479005,162.5,148.5
33,-10.105221477175641,163.0,146.5
34,-10.737353385635481,167.0,144.5
35,-10.956210981268574,167.5,144.5
36,-10.410755401859719,170.5,143.5
37,-10.169447821940663,172.5,142.5
38,-10.170388287823407,120.0,198.5
39,-8.887825474019966,119.0,197.5
40,-9.412160000933694,118.5,194.5
41,-10.503432768728127,119.5,194.5
42,-9.636071070583075,119.0,194.5
43,-8.741765731472157,119.5,193.5
44,-9.355123276519947,119.0,193.5
45,-9.337803870889903,118.5,194.5
46,-8.929155642960946,119.5,193.5
47,-8.425933712110256,119.0,194.5
48,-7.769546119515139,118.5,193.5
49,-6.791414880449221,119.0,193.5
50,-6.659709892173828,118.5,193.5
51,-5.636765075395999,119.0,194.5
52,-5.211688087608995,118.5,193.5
53,-5.093092687892976,119.0,193.5
54,-5.210900119995046,118.5,194.5
55,-5.717692901885922,119.5,193.5
56,-6.5756573195369725,119.0,193.5
57,-7.043291876644745,118.5,194.5
58,-8.15991429189954,119.5,195.5
59,-8.752665447783482,119.0,193.5
60,-8.146305626264557,119.5,194.5
61,-7.1996025181688434,119.5,194.5
62,-6.641550631436839,119.5,194.5
63,-7.470201165757155,119.5,195.5
64,-8.439145184551938,118.5,195.5
65,-8.732544378365795,118.5,194.5
66,-9.987161856423253,118.5,194.5
67,-10.47094036551143,118.5,194.5
68,-10.704297571306562,118.5,194.5
69,-10.255990068357406,118.5,194.5
70,-10.879278199807326,118.5,193.5
71,-12.16945031400639,118.0,193.5
72,-11.45414299060021,118.5,192.5
73,-12.526972442320286,118.5,192.5
74,-12.44184831966605,119.0,192.5
75,-11.854448826425427,119.5,193.5
76,-12.705977730107435,119.5,193.5
77,-12.270728427443904,119.5,194.5
78,-12.756065600479678,118.0,196.5
79,-12.640346434937523,114.5,195.5
80,-12.022846332929127,108.5,185.5
81,-13.311719424538474,106.5,179.5
82,-13.541398822791056,102.5,175.5
83,-12.601908952130497,100.5,169.5
84,-11.794932445624324,99.5,165.5
85,-10.760981300077468,99.5,161.5
86,-11.54316418089955,98.5,157.5
87,-11.778615645160054,98.5,154.5
88,-10.823419225593678,99.5,151.5
89,-10.849721491237528,118.5,136.5
90,-10.049999040135,124.5,134.5
91,-10.225390090330785,136.5,129.5
92,-10.077869651926207,144.0,128.5
93,-9.848953836528494,153.0,124.5
94,-10.045945498540402,160.0,120.5
95,-9.410705007157135,165.5,117.5
96,-9.795156139537877,174.0,113.5
97,-9.959891064093533,180.5,112.5
98,-8.88346108667999,188.5,108.5
99,-10.07068844004805,197.0,103.5
100,-9.659044082602147,229.5,96.5
101,-9.197377218889592,233.5,97.5
102,-9.368080213285573,232.5,100.5
103,-10.1800896150334,231.5,107.5
104,-10.178696716166371,230.0,112.5
105,-11.149014801736968,223.5,117.5
106,-11.017514379726649,244.0,187.5
107,-10.569673837488654,231.0,188.5
108,-10.773019334287461,184.0,151.5
109,-10.943587197727334,118.5,153.5
110,-12.076276345951998,114.5,161.5
111,-11.3198799016212,113.5,173.5
112,-10.80068437126987,115.5,182.5
113,-10.763286222830645,115.5,189.5
114,-11.021664002176486,119.5,196.5
115,-10.311593119447364,119.5,193.5
116,-10.822412042594749,119.5,193.5
117,-10.329290955615235,118.5,193.5
118,-11.286777579615734,118.5,193.5
119,-11.187880167470878,118.5,193.5
120,-10.78449335655786,119.5,193.5
121,-9.630698137410068,119.5,194.5
122,-10.96849966631206,119.0,194.5
123,-10.585982849900308,119.5,194.5
124,-10.24796633294105,119.0,194.5
125,-9.546745857379928,119.5,193.5
126,-9.430584477422501,119.5,193.5
127,-10.986479469548005,119.5,194.5
128,-10.126552293910063,118.5,194.5
129,-10.986938124644814,125.5,159.5
130,-11.18150634795909,114.5,166.5
131,-10.696050050431872,116.5,172.5
132,-11.131754806463373,115.5,172.5
133,-10.721587438470934,119.5,185.5
